CTID,A_TRIP,P_TRIP,A_SHARE,P_SHARE,P_SHARE_PCT,A_TRIP_W,P_TRIP_W,A_SHARE_W,P_SHARE_W,P_SHARE_PCT_W,A_EMPTY,P_EMPTY,A_EMPTY_W,P_EMPTY_W
17031839700,254,280,115,110,0.392857143,313,307,117,104,0.338762215,288,300,400,457
17031839800,128,147,62,61,0.414965986,163,160,68,60,0.375,121,106,119,122
17031839900,193,206,84,80,0.388349515,198,198,67,63,0.318181818,158,192,267,277
17031840000,94,105,43,41,0.39047619,111,111,42,40,0.36036036,241,224,252,259
17031840100,116,131,59,57,0.435114504,123,119,52,49,0.411764706,82,98,81,96
17031840200,138,153,67,68,0.444444444,154,162,62,63,0.388888889,132,115,107,120
17031840300,120,118,59,52,0.440677966,131,122,63,50,0.409836066,117,151,134,125
17031840400,174,175,91,81,0.462857143,176,176,88,78,0.443181818,116,143,134,134
17031840700,150,170,82,78,0.458823529,153,164,77,73,0.445121951,107,114,119,141
17031840800,64,85,34,35,0.411764706,67,80,33,32,0.4,84,58,60,64
17031841000,916,860,231,203,0.236046512,1191,1182,268,255,0.215736041,807,952,1165,1279
17031841100,747,781,264,255,0.326504481,1227,1237,363,325,0.262732417,875,690,1259,1098
17031841200,267,297,129,125,0.420875421,337,313,146,126,0.402555911,175,222,219,283
17031841300,309,300,161,144,0.48,302,274,133,115,0.419708029,243,283,280,246
17031841400,81,86,46,37,0.430232558,78,84,42,34,0.404761905,74,73,73,68
17031841500,119,127,68,60,0.472440945,101,109,59,50,0.458715596,88,100,82,92
17031841600,71,76,40,30,0.394736842,73,74,41,29,0.391891892,61,70,58,54
17031841700,68,83,37,34,0.409638554,72,81,36,32,0.395061728,71,52,66,60
17031841800,138,128,64,56,0.4375,115,104,55,43,0.413461538,214,247,250,252
17031841900,2311,2196,850,821,0.373861566,1937,1899,630,630,0.331753555,3088,3269,2584,2680
17031842000,309,289,154,129,0.446366782,230,207,110,90,0.434782609,217,240,131,196
17031842100,157,159,72,70,0.440251572,149,150,62,63,0.42,257,268,290,310
17031842200,2455,2390,621,605,0.253138075,2648,2802,484,499,0.178087081,2431,2443,2971,2735
17031842300,1345,1443,322,319,0.221067221,1736,1770,311,307,0.173446328,1776,1685,2305,2172
17031842400,404,369,183,165,0.447154472,354,347,163,145,0.417867435,312,335,264,281
17031842500,116,104,58,44,0.423076923,114,99,56,42,0.424242424,192,185,229,252
17031842600,191,203,98,94,0.463054187,154,172,69,71,0.412790698,166,149,135,148
17031842800,174,183,90,85,0.464480874,142,155,72,70,0.451612903,142,138,124,118
17031842900,464,412,215,183,0.444174757,372,351,158,137,0.39031339,451,541,563,658
17031843000,178,174,98,83,0.477011494,142,143,81,66,0.461538462,117,126,107,116
17031843100,131,125,72,59,0.472,96,103,53,46,0.446601942,124,128,126,118
17031843200,317,301,144,124,0.411960133,265,254,108,99,0.38976378,345,365,369,373
17031843300,216,202,99,95,0.47029703,104,107,58,49,0.457943925,152,173,80,88
17031843400,74,80,41,33,0.4125,74,82,40,33,0.402439024,78,70,71,58
17031843500,139,124,62,52,0.419354839,85,94,45,40,0.425531915,115,110,114,121
17031843600,204,246,112,117,0.475609756,191,227,99,99,0.436123348,126,180,167,152
17031843700,499,472,146,158,0.334745763,516,494,127,137,0.277327935,492,537,501,559
17031843800,72,87,38,36,0.413793103,65,80,33,32,0.4,80,74,99,84
17031843900,183,197,87,84,0.426395939,179,181,82,77,0.425414365,265,286,304,318
17031980000,6308,4702,331,513,0.10910251,5145,3832,400,558,0.145615866,7136,7468,4687,5906
17031980100,2075,1843,146,200,0.108518719,1770,1584,157,222,0.140151515,2036,1823,1374,1508
