CTID,WI_WEIGHTEDSUM
17031081000,16.03159398
17031081100,16.94856541
17031081201,17.37208092
17031081202,16.65881481
17031081300,16.44982291
17031081401,15.89386378
17031081402,18.57700846
17031081403,18.38507108
17031081500,18.160508
17031081600,16.90644638
17031081700,18.50521717
17031081800,18.43146836
17031081900,14
17031090100,14.50863928
17031090200,15.82238305
17031090300,17
17031100100,15.61194273
17031100200,14.25493689
17031100300,13.42974396
17031100400,13.48362532
17031100500,13.78216541
17031100600,15.3655122
17031100700,13.36158751
17031110100,14.41222668
17031110200,17.35876305
17031110300,13.31427641
17031110400,14.30006282
17031110501,12.51962795
17031110502,17.96145842
17031120100,14.22658532
17031120200,15.82221255
17031120300,14.13526475
17031120400,12.82973481
17031130100,15.37812369
17031130200,14.5
17031130300,15.18189623
17031140100,13.0303284
17031140200,13.58000288
17031140301,13.24958568
17031140302,11.91579193
17031140400,12.84203052
17031140500,16.28159907
17031140601,15
17031140602,11.67941596
17031140701,14.11941913
17031140702,13.13248609
17031140800,14.54462264
17031150200,14.65588239
17031150300,14.14612953
17031150401,14.91857812
17031150402,15.007027
17031150501,13.26102554
17031150502,11.94866066
17031150600,13.46013143
17031150700,13.45622057
17031150800,11.96463274
17031151001,9.83240413
17031151002,14.12542393
17031151100,15.74988122
17031151200,12.80212872
17031160100,13.75870107
17031160200,13.53442104
17031160300,12.49446523
17031160400,13.73401838
17031160501,11.17857017
17031160502,13.72009361
17031160601,14.61980481
17031160602,12.16919588
17031160700,14.31597801
17031160800,14.7732035
17031160900,16.57756661
17031161000,14.32640887
17031161100,14.69249639
17031161200,14.66162653
17031161300,14.60599273
17031170100,14
17031170200,12.44868588
17031170300,14.27510729
17031170400,14.04866572
17031170500,11.61843423
17031170600,13.04540723
17031170700,10.74455812
17031170800,13.6038238
17031170900,15.167
17031171000,13.82026152
17031171100,12.80797769
17031180100,13.38887412
17031190100,12.167
17031190200,13.12626161
17031190300,14.53966943
17031190401,15.1665479
17031190402,15.74960315
17031190601,12.86843074
17031190602,13.19368337
17031190701,12.06049054
17031190702,13.29137686
17031190800,12.85177713
17031190900,13.333
17031191000,14.63529009
17031191100,13.61412182
17031191200,15.19313445
17031191301,13.61667399
17031191302,14.06691896
17031200100,13.50087977
17031200200,14.31619917
17031200300,11.89252022
17031200401,13.50068953
17031200402,13.5771962
17031210100,16.94501391
17031210400,12.06521854
17031210501,13.54315929
17031210502,13.88044037
17031210601,11.8210336
17031210602,15.31641734
17031210700,12.08151338
17031210800,16.167
17031210900,16.11714197
17031220300,12.62547042
17031220400,14.47609784
17031220500,15.72098557
17031220601,14.55679692
17031220602,13.85094853
17031220701,11.83654241
17031220702,14.30692921
17031220901,11.8321832
17031220902,12.91701385
17031221000,13.00235836
17031221100,13.24727707
17031221200,14.77492785
17031221300,14.51689844
17031221400,16.15794255
17031221500,12.82796652
17031221600,16.21413314
17031222200,15.27012802
17031222500,16.333
17031222600,11.5
17031222700,12.51918504
17031222800,12.833
17031222900,13.833
17031230100,11.833
17031230200,14
17031230300,10.167
17031230400,12.99729356
17031230500,14.68421098
17031230600,14.06662333
17031230700,14.15662939
17031230800,13.5
17031230900,13.86869182
17031231100,15
17031231200,12.63604752
17031231500,11.79135515
17031240200,17
17031240300,17.167
17031240500,16.333
17031240600,13.667
17031240700,13.167
17031240800,14.21830188
17031240900,16.333
17031241000,12.11102485
17031241100,11.00089628
17031241200,15.58384044
17031241300,13.167
17031241400,15.90114143
17031241500,17.35587923
17031241600,15.46141177
17031242000,14.63313289
17031242100,16.45877292
17031242200,14.83428955
17031242300,15.49930374
17031242400,15.33292191
17031242500,13.0890717
17031242600,13.1726666
17031242700,13.667
17031242800,15.5
17031242900,15.81760447
17031243000,16.85747793
17031243100,16.82823635
17031243200,16.15582255
17031243300,14.00072228
17031243400,16.61038925
17031243500,18.08556282
17031250200,13.73829242
17031250300,11.9584896
17031250400,13.51458808
17031250500,13.43155423
17031250600,13.08361129
17031250700,10.8583148
17031250800,14.21393275
17031251000,15.167
17031251100,10.58115224
17031251200,11.47689765
17031251300,10.89927939
17031251400,12.50498349
17031251500,10.57103262
17031251600,11.23423649
17031251700,15
17031251800,13.38805298
17031251900,13.27399117
17031252000,12.22496771
17031252101,17.167
17031252102,10.91854626
17031252201,12.84280395
17031252202,12.46415405
17031260100,16
17031260200,16.333
17031260300,14.833
17031260400,15
17031260500,14.333
17031260600,11.54540802
17031260700,10.97820998
17031260800,12.57057619
17031260900,13.81226993
17031261000,12.05031366
17031270500,13.833
17031271200,15.5
17031271300,12.667
17031271400,14.667
17031271500,13.167
17031271800,14.5
17031280100,17.9063375
17031280400,18
17031280800,12.5
17031280900,15.333
17031281900,16.28071763
17031282700,13.65314935
17031282800,16.333
17031283100,13.90979868
17031283200,16.333
17031283800,11.67883888
17031290900,12.17512315
17031291200,13.167
17031291600,12.5
17031292200,10.78280195
17031292400,13.66546381
17031292500,11.51779951
17031300500,13.94558485
17031300600,14.59305727
17031300700,12.08316586
17031300800,11.91537842
17031300900,14.85330521
17031301100,13.27121851
17031301200,14.7267988
17031301600,11.74861168
17031301701,13.46936048
17031301702,10.9604357
17031301801,12.39982357
17031301802,13.83679737
17031301803,11.03739817
17031310200,16.73348252
17031310300,16.667
17031310400,15.667
17031310500,17.5
17031310600,16.66650804
17031310700,13.167
17031310800,16.4163308
17031310900,15.97020291
17031320100,18.34351977
17031320400,19.167
17031320600,17.30424656
17031330100,16.47255193
17031330200,16.23662847
17031340300,13.333
17031340400,15.833
17031340500,15.333
17031340600,16.833
17031350100,13.0302855
17031350400,11.5
17031351000,12.67755245
17031351100,10.18190824
17031351400,12
17031351500,14.68382711
17031360200,15.5
17031380100,15.833
17031380200,12.45319289
17031380500,13.667
17031380700,13.833
17031381200,13.15831007
17031381400,13.667
17031381500,16.167
17031381700,13.833
17031381800,14.39081496
17031381900,14.53136204
17031390100,12.333
17031390200,12.98697789
17031390300,11.57251697
17031390400,12.27185487
17031390500,14.833
17031390600,13.78883195
17031390700,13.3334149
17031400300,17
17031400400,12.22270192
17031400500,13.67417091
17031400800,11.07883648
17031410100,14.85618557
17031410200,9.333
17031410500,12.02609519
17031410600,14.58168905
17031410700,17.5
17031410800,17.30554254
17031410900,16.53017452
17031411000,16.59358297
17031411100,14.69489144
17031411200,12.30647988
17031420100,15.667
17031420200,14.833
17031420300,15.333
17031420400,16.5
17031420500,11.24550102
17031420600,9.916550411
17031420700,12.14341395
17031420800,11.36191686
17031421200,12.18404145
17031430101,11.00213855
17031430102,9.915660549
17031430200,10.74198336
17031430300,11.4310704
17031430400,12.80859246
17031430500,12.6046674
17031430600,13.50141082
17031430700,13.48589238
17031430800,11.74994165
17031430900,11.83284
17031431200,12.75069865
17031431301,12.41370826
17031431302,13.75383138
17031431400,14.29198371
17031440101,11.24809321
17031440102,13.41309343
17031440201,11.03477933
17031440202,13.01473303
