CTID,C000,EMP_DEN,CA01,CA02,CA03,CE01,CE02,CE03,NS01,NS02,NS03,NS04,NS05,NS06,NS07,NS08,NS09,NS10,NS11,NS12,NS13,NS14,NS15,NS16,NS17,NS18,NS19,NS20,CR01,CR02,CR03,CR04,CR05,CR07,CT01,CT02,CD01,CD02,CD03,CD04,CS01,CS02
17197880313,433,#N/A,131,247,55,159,134,140,0,0,0,50,0,32,52,9,0,9,6,48,0,9,11,55,15,77,60,0,342,23,1,56,1,10,339,94,56,66,72,108,242,191
17197880314,1198,#N/A,208,718,272,195,421,582,32,0,0,524,31,74,80,53,0,5,9,71,0,195,19,31,21,0,53,0,1083,55,3,40,0,17,1025,173,167,269,281,273,843,355
17197880404,7392,#N/A,1565,4619,1208,2085,1822,3485,2,0,0,123,454,496,287,59,72,233,52,169,0,196,3361,347,0,659,625,257,6753,400,23,159,2,55,6677,715,545,1422,1890,1970,2676,4716
17197880408,182,#N/A,31,78,73,81,80,21,0,0,0,0,2,0,0,122,0,0,0,1,0,9,0,29,19,0,0,0,134,40,0,5,0,3,156,26,23,44,54,30,78,104
17197880410,268,#N/A,74,149,45,97,72,99,0,0,0,36,3,24,35,36,0,6,0,12,0,10,0,41,50,15,0,0,238,15,2,11,1,1,219,49,32,57,51,54,161,107
17197880411,2038,#N/A,520,1063,455,521,527,990,0,2,0,130,56,451,446,42,2,64,2,292,0,33,119,116,130,93,60,0,1804,126,8,80,3,17,1843,195,160,381,493,484,1133,905
17197880412,1203,#N/A,399,588,216,524,454,225,0,0,0,9,2,14,273,12,1,49,34,43,0,469,19,115,0,106,57,0,952,183,10,39,0,19,1012,191,147,206,266,185,627,576
17197880414,438,#N/A,149,240,49,170,172,96,0,0,0,34,19,1,109,74,0,7,7,11,3,9,9,11,16,73,55,0,397,23,2,8,0,8,381,57,45,105,94,45,249,189
17197880415,3595,#N/A,1664,1445,486,1876,1154,565,0,0,0,7,6,143,1807,7,95,2,5,54,8,83,0,210,41,1093,34,0,2962,455,13,118,0,47,3005,590,303,581,647,400,1493,2102
17197880416,127,#N/A,38,72,17,47,27,53,1,0,0,9,11,2,6,4,0,0,0,26,0,6,10,0,0,36,16,0,115,2,0,5,0,5,110,17,12,18,32,27,84,43
17197880417,488,#N/A,128,245,115,223,180,85,0,0,0,29,2,6,55,32,0,7,4,222,0,0,0,78,7,11,35,0,415,36,0,26,1,10,425,63,59,119,99,83,251,237
17197880418,159,#N/A,31,104,24,44,43,72,0,0,0,14,0,5,3,6,22,40,0,14,9,6,0,2,0,0,38,0,152,1,0,4,0,2,140,19,14,31,38,45,102,57
17197880419,268,#N/A,71,160,37,90,108,70,0,0,0,6,35,0,8,12,0,14,0,53,1,59,0,26,1,49,4,0,232,17,0,12,0,7,233,35,31,62,66,38,125,143
17197880420,102,#N/A,13,74,15,31,34,37,0,0,0,14,0,0,3,39,0,8,6,4,0,19,0,3,0,0,6,0,82,9,3,7,0,1,69,33,28,17,30,14,71,31
